"","kennung","art","frequenz"
"1","S109","Avenella flexuosa",1
"2","S109","Campanula barbata",6
"3","S109","Festuca nigrescens",5
"4","S109","Leontodon helveticus",3
"5","S109","Luzula luzuloides",3
"6","S109","Nardus stricta",61
"7","S109","Poa alpina",4
"8","S109","Vaccinium myrtillus",75
"9","S109","Vaccinium vitis-idaea",12
"10","S109","Homogyne alpina",19
"11","S109","Potentilla erecta",24
"12","S109","Pulsatilla sp.",3
"13","S209","Avenella flexuosa",74
"14","S209","Campanula barbata",1
"15","S209","Festuca nigrescens",14
"16","S209","Leontodon helveticus",5
"17","S209","Luzula luzuloides",3
"18","S209","Nardus stricta",24
"19","S209","Poa alpina",4
"20","S209","Vaccinium myrtillus",50
"21","S209","Vaccinium vitis-idaea",6
"22","S209","Potentilla erecta",11
"23","S209","Homogyne alpina",36
"24","S209","Pulsatilla sp.",2
"25","S309","Avenella flexuosa",64
"26","S309","Campanula barbata",1
"27","S309","Festuca nigrescens",7
"28","S309","Leontodon helveticus",2
"29","S309","Luzula luzuloides",3
"30","S309","Nardus stricta",28
"31","S309","Poa alpina",1
"32","S309","Vaccinium myrtillus",66
"33","S309","Homogyne alpina",7
"34","S309","Potentilla erecta",10
"35","S409","Avenella flexuosa",74
"36","S409","Festuca nigrescens",2
"37","S409","Leontodon helveticus",5
"38","S409","Nardus stricta",25
"39","S409","Vaccinium myrtillus",72
"40","S409","Homogyne alpina",28
"41","S409","Potentilla erecta",7
"42","M109","Avenella flexuosa",79
"43","M109","Campanula barbata",11
"44","M109","Leontodon helveticus",3
"45","M109","Luzula luzuloides",3
"46","M109","Nardus stricta",29
"47","M109","Poa alpina",21
"48","M109","Vaccinium myrtillus",57
"49","M109","Vaccinium vitis-idaea",7
"50","M109","Homogyne alpina",23
"51","M109","Potentilla erecta",5
"52","M109","Carex sp.",1
"53","M209","Avenella flexuosa",66
"54","M209","Campanula barbata",8
"55","M209","Leontodon helveticus",4
"56","M209","Luzula luzuloides",1
"57","M209","Nardus stricta",19
"58","M209","Poa alpina",12
"59","M209","Vaccinium myrtillus",68
"60","M209","Homogyne alpina",43
"61","M209","Potentilla erecta",29
"62","S109","Melampyrum pratense",5
"63","M209","Melampyrum pratense",18
"64","M109","Anthoxanthum odoratum",19
"65","S409","Anthoxanthum odoratum",20
"66","S209","Anthoxanthum odoratum",26
"67","S109","Anthoxanthum odoratum",50
"68","S309","Anthoxanthum odoratum",11
"69","S109","Geum montanum",8
"70","S209","Geum montanum",6
"71","S409","Geum montanum",3
"72","M209","Geum montanum",6
